站名,经度,纬度
龙胜,114.00697853368662,22.647556534727283
皇岗口岸,114.06884635933895,22.524494397199195
黄木岗,114.08145139845206,22.55847418801281
八卦岭,114.0895219001516,22.56462094653253
香梅北,114.02764283036555,22.55663201763323
茶光,113.94941639675508,22.577128281512298
红树湾,113.96351381031968,22.52810172190523
华强北,114.08028397844511,22.547125700341837
人民南,114.11305420227482,22.538204125876835
购物公园,114.04947165869916,22.537378775590653
华强南,114.08169665205698,22.539898414663636
科苑,113.94131558737487,22.530029739799264
深圳北站,114.02579201090266,22.613585094873912
香蜜湖站,114.0335530702799,22.541645187805603
深圳北,114.02579201090266,22.613585094873912
