站名,POIs
太安,"[{""name"": ""深圳市职业病防治医院门诊部住院楼"", ""location"": {""x"": 114.13102207043879, ""y"": 22.576703092382417, ""type"": 1, ""original_type"": ""090100""}}, {""name"": ""深圳市职业病防治院门诊部"", ""location"": {""x"": 114.13083965386544, ""y"": 22.57693881249224, ""type"": 1, ""original_type"": ""090200""}}, {""name"": ""深圳市职业病防治医院东湖门诊部"", ""location"": {""x"": 114.13079856528984, ""y"": 22.576912758171805, ""type"": 1, ""original_type"": ""090100""}}, {""name"": ""深圳市职业病防治医院-住院楼a"", ""location"": {""x"": 114.13058110451904, ""y"": 22.576663483507648, ""type"": 1, ""original_type"": ""090100""}}, {""name"": ""轩兰医疗美容诊所"", ""location"": {""x"": 114.13135596503935, ""y"": 22.574268820344805, ""type"": 1, ""original_type"": ""090201""}}, {""name"": ""深圳市慢性病防治中心门诊部"", ""location"": {""x"": 114.13012005996875, ""y"": 22.57724878436361, ""type"": 1, ""original_type"": ""090200""}}, {""name"": ""深圳市肺部疾病防治研究所"", ""location"": {""x"": 114.12998176083305, ""y"": 22.57722359762182, ""type"": 2, ""original_type"": ""141300""}}, {""name"": ""深圳市皮肤病防治研究所"", ""location"": {""x"": 114.12997875131516, ""y"": 22.577269588483468, ""type"": 2, ""original_type"": ""141300""}}, {""name"": ""深圳市罗湖区晶晶幼儿园"", ""location"": {""x"": 114.13396658755025, ""y"": 22.57806016897376, ""type"": 2, ""original_type"": ""141204""}}, {""name"": ""鸿儒酒店"", ""location"": {""x"": 114.13196227346445, ""y"": 22.574852615546085, ""type"": 3, ""original_type"": ""100102""}}, {""name"": ""嘉丰城"", ""location"": {""x"": 114.13071049865238, ""y"": 22.57495684603829, ""type"": 3, ""original_type"": ""060102""}}, {""name"": ""大国安选"", ""location"": {""x"": 114.13403396655676, ""y"": 22.57458064389767, ""type"": 5, ""original_type"": ""170000""}}, {""name"": ""东瑞物业管理有限公司金迪名苑管理处"", ""location"": {""x"": 114.13084957523196, ""y"": 22.57848965606949, ""type"": 5, ""original_type"": ""170000""}}, {""name"": ""粤海新村"", ""location"": {""x"": 114.13112338021402, ""y"": 22.57536737772071, ""type"": 7, ""original_type"": ""120302""}}, {""name"": ""慢病院宿舍"", ""location"": {""x"": 114.13042272845303, ""y"": 22.577120214912497, ""type"": 7, ""original_type"": ""120303""}}, {""name"": ""东晓花园"", ""location"": {""x"": 114.13191795858083, ""y"": 22.578191191257712, ""type"": 7, ""original_type"": ""120302""}}, {""name"": ""金迪名苑"", ""location"": {""x"": 114.13103098582583, ""y"": 22.5783129285555, ""type"": 7, ""original_type"": ""120302""}}, {""name"": ""东安花园"", ""location"": {""x"": 114.1323792738846, ""y"": 22.573792322234603, ""type"": 7, ""original_type"": ""120302""}}, {""name"": ""东晓综合大厦"", ""location"": {""x"": 114.13097014478572, ""y"": 22.57378933047935, ""type"": 7, ""original_type"": ""120203""}}]"
民乐,"[{""name"": ""翠岭华庭幼儿园"", ""location"": {""x"": 114.0420805922311, ""y"": 22.59614416630165, ""type"": 2, ""original_type"": ""141204""}}, {""name"": ""书香小学"", ""location"": {""x"": 114.04110304792599, ""y"": 22.598069039123768, ""type"": 2, ""original_type"": ""141203""}}, {""name"": ""鼎曦大厦B区"", ""location"": {""x"": 114.04198174169629, ""y"": 22.59627936233531, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""鼎曦大厦"", ""location"": {""x"": 114.04183798470295, ""y"": 22.59609269918255, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""梅龙阁B座"", ""location"": {""x"": 114.04112811626486, ""y"": 22.59639221001355, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""翠岭华庭"", ""location"": {""x"": 114.0419158804016, ""y"": 22.59577257268383, ""type"": 7, ""original_type"": ""120302""}}, {""name"": ""梅龙阁"", ""location"": {""x"": 114.04110016470426, ""y"": 22.59635027703852, ""type"": 7, ""original_type"": ""120302""}}, {""name"": ""棕榈滩"", ""location"": {""x"": 114.04254864370998, ""y"": 22.5992727337743, ""type"": 7, ""original_type"": ""120302""}}]"
海上世界,"[{""name"": ""伽美贝拉·科技美肤中心(海上世界店)"", ""location"": {""x"": 113.9101856376999, ""y"": 22.487726201172414, ""type"": 1, ""original_type"": ""090201""}}, {""name"": ""深圳璀璨之谜口腔门诊部"", ""location"": {""x"": 113.90926956490408, ""y"": 22.487447718880635, ""type"": 1, ""original_type"": ""090202""}}, {""name"": ""蔚莱医疗美容"", ""location"": {""x"": 113.9110477290147, ""y"": 22.487039669955585, ""type"": 1, ""original_type"": ""090201""}}, {""name"": ""蛇口人民医院综合门诊部"", ""location"": {""x"": 113.90754922246879, ""y"": 22.488457603017387, ""type"": 1, ""original_type"": ""090100""}}, {""name"": ""SEEME西觅抗敏轻医美"", ""location"": {""x"": 113.91260657331595, ""y"": 22.489448657669886, ""type"": 1, ""original_type"": ""090201""}}, {""name"": ""Apple授权专营店(招商汇港二期店)"", ""location"": {""x"": 113.90987256652717, ""y"": 22.488438389715352, ""type"": 3, ""original_type"": ""060306""}}, {""name"": ""海上世界·汇港购物中心(二期)"", ""location"": {""x"": 113.90979356159137, ""y"": 22.488399434639614, ""type"": 3, ""original_type"": ""060101""}}, {""name"": ""汇港购物中心"", ""location"": {""x"": 113.9097925614329, ""y"": 22.488400435219354, ""type"": 3, ""original_type"": ""060102""}}, {""name"": ""小天才(海上世界汇港购物中心店)"", ""location"": {""x"": 113.91007756931683, ""y"": 22.488676272958152, ""type"": 3, ""original_type"": ""060306""}}, {""name"": ""海滩小镇"", ""location"": {""x"": 113.90988055818976, ""y"": 22.48858238633842, ""type"": 3, ""original_type"": ""110000""}}, {""name"": ""小米之家(广东深圳南山区海上世界汇港专卖店)"", ""location"": {""x"": 113.90944554320916, ""y"": 22.488117628167874, ""type"": 3, ""original_type"": ""060306""}}, {""name"": ""Sa Bo(海上世界·汇港购物中心店)"", ""location"": {""x"": 113.90943454524653, ""y"": 22.488065633804126, ""type"": 3, ""original_type"": ""060306""}}, {""name"": ""科大讯飞AI学习机专卖店(海上世界汇港购物中心店)"", ""location"": {""x"": 113.91000855045864, ""y"": 22.48888431483378, ""type"": 3, ""original_type"": ""060306""}}, {""name"": ""小米(汇港购物中心店)"", ""location"": {""x"": 113.90942454090442, ""y"": 22.488116639812414, ""type"": 3, ""original_type"": ""060305""}}, {""name"": ""华为授权体验店(汇港购物中心)"", ""location"": {""x"": 113.90954359548059, ""y"": 22.487458567291355, ""type"": 3, ""original_type"": ""060305""}}, {""name"": ""海上世界·汇港购物中心一期"", ""location"": {""x"": 113.91115762834654, ""y"": 22.48869461609296, ""type"": 3, ""original_type"": ""060101""}}, {""name"": ""网汇港(汇港购物中心店)"", ""location"": {""x"": 113.91145664705247, ""y"": 22.48850442329293, ""type"": 3, ""original_type"": ""060100""}}, {""name"": ""vivo展台"", ""location"": {""x"": 113.91158468804696, ""y"": 22.48787833462449, ""type"": 3, ""original_type"": ""060305""}}, {""name"": ""海上世界·汇港购物中心-扶梯"", ""location"": {""x"": 113.9117326544259, ""y"": 22.488425242531935, ""type"": 3, ""original_type"": ""060102""}}, {""name"": ""海上世界-鲨鱼公园"", ""location"": {""x"": 113.91214074389262, ""y"": 22.486953955923, ""type"": 3, ""original_type"": ""110000""}}, {""name"": ""海上世界-明华轮"", ""location"": {""x"": 113.91204177266965, ""y"": 22.486521018038356, ""type"": 3, ""original_type"": ""110000""}}, {""name"": ""深圳湾游艇俱乐部"", ""location"": {""x"": 113.91149280325664, ""y"": 22.48603237491874, ""type"": 3, ""original_type"": ""110000""}}, {""name"": ""vivo官方授权体验店(海上世界概念店)"", ""location"": {""x"": 113.9112868054775, ""y"": 22.485936506284144, ""type"": 3, ""original_type"": ""060305""}}, {""name"": ""精英科技"", ""location"": {""x"": 113.91013877032798, ""y"": 22.485562205031, ""type"": 3, ""original_type"": ""060306""}}, {""name"": ""蛇口画廊"", ""location"": {""x"": 113.91246058211519, ""y"": 22.489393758723025, ""type"": 4, ""original_type"": ""140400""}}, {""name"": ""深圳市里阳电子有限公司"", ""location"": {""x"": 113.9103286458284, ""y"": 22.48776311685876, ""type"": 5, ""original_type"": ""170000""}}, {""name"": ""海南有诚私募基金管理有限公司"", ""location"": {""x"": 113.91033164616323, ""y"": 22.487761115053694, ""type"": 5, ""original_type"": ""160000""}}, {""name"": ""悦达商业保理有限公司(金融中心店)"", ""location"": {""x"": 113.91033164616323, ""y"": 22.487761115053694, ""type"": 5, ""original_type"": ""160000""}}, {""name"": ""金融中心"", ""location"": {""x"": 113.91033164616323, ""y"": 22.487761115053694, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""汇丰融资担保有限公司"", ""location"": {""x"": 113.91014963648612, ""y"": 22.487701222102448, ""type"": 5, ""original_type"": ""160000""}}, {""name"": ""太子广场汇港二期商场"", ""location"": {""x"": 113.90963056264556, ""y"": 22.488125524716864, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""红筹投资"", ""location"": {""x"": 113.91059368773334, ""y"": 22.48736395362759, ""type"": 5, ""original_type"": ""160000""}}, {""name"": ""宁波银行(深圳蛇口支行)"", ""location"": {""x"": 113.90929253523396, ""y"": 22.487962711203085, ""type"": 5, ""original_type"": ""160000""}}, {""name"": ""货币兑换"", ""location"": {""x"": 113.91016967098047, ""y"": 22.48717820516182, ""type"": 5, ""original_type"": ""160000""}}, {""name"": ""韵汇通外币兑换(海上世界店)"", ""location"": {""x"": 113.90997765864087, ""y"": 22.487124316690352, ""type"": 5, ""original_type"": ""160000""}}, {""name"": ""振兴大厦D座"", ""location"": {""x"": 113.91024054585645, ""y"": 22.489250181696164, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""太子广场写字楼"", ""location"": {""x"": 113.90931157081361, ""y"": 22.487433695708855, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""招商局融资租赁有限公司"", ""location"": {""x"": 113.90936658564523, ""y"": 22.487300664093954, ""type"": 5, ""original_type"": ""160000""}}, {""name"": ""南海意库梦工场大厦"", ""location"": {""x"": 113.91095458743133, ""y"": 22.489232747848654, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""振兴大厦C座(太子路)"", ""location"": {""x"": 113.91042454195377, ""y"": 22.489515074067587, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""华达大厦"", ""location"": {""x"": 113.91071556142967, ""y"": 22.489473897366896, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""海滨商业中心"", ""location"": {""x"": 113.91129773192469, ""y"": 22.487108512317576, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""招商局港口大厦"", ""location"": {""x"": 113.91127159168214, ""y"": 22.48932554859806, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""振兴大厦(工业三路)"", ""location"": {""x"": 113.91030952331946, ""y"": 22.489687143935548, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""华展大厦(南海大道)"", ""location"": {""x"": 113.90909841973685, ""y"": 22.489413828731355, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""招商局创投"", ""location"": {""x"": 113.91124957765848, ""y"": 22.48953956417255, ""type"": 5, ""original_type"": ""160000""}}, {""name"": ""百盈医疗器械园A座"", ""location"": {""x"": 113.90932343367723, ""y"": 22.489633707717406, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""森瑞斯生物科技(深圳)有限公司"", ""location"": {""x"": 113.90938043806442, ""y"": 22.48966967655057, ""type"": 5, ""original_type"": ""170000""}}, {""name"": ""南山医疗器械产业园"", ""location"": {""x"": 113.90925141635599, ""y"": 22.489771748143962, ""type"": 5, ""original_type"": ""120100""}}, {""name"": ""振兴大厦A座(工业三路)"", ""location"": {""x"": 113.9106615230802, ""y"": 22.490037934237282, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""华发大厦(南海大道)"", ""location"": {""x"": 113.90951142297357, ""y"": 22.49014260692067, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""希望之光心理咨询(总部)"", ""location"": {""x"": 113.90967969826555, ""y"": 22.48605147549104, ""type"": 5, ""original_type"": ""070703""}}, {""name"": ""海景广场"", ""location"": {""x"": 113.90972470357896, ""y"": 22.48603844982322, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""海洋石油大厦B座"", ""location"": {""x"": 113.90856751967586, ""y"": 22.486632083531827, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""海洋石油大厦(工业二路)"", ""location"": {""x"": 113.90858152636895, ""y"": 22.48656007551138, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""深圳市康乔舍文化传播有限公司"", ""location"": {""x"": 113.91235758885156, ""y"": 22.489336829298665, ""type"": 5, ""original_type"": ""141100""}}, {""name"": ""科睿机器人"", ""location"": {""x"": 113.9112818023994, ""y"": 22.485983510035567, ""type"": 5, ""original_type"": ""170000""}}, {""name"": ""海洋石油大厦A座"", ""location"": {""x"": 113.90859555414934, ""y"": 22.48615306365004, ""type"": 5, ""original_type"": ""120201""}}, {""name"": ""邦邦贷社区金融服务(蛇口店)"", ""location"": {""x"": 113.91292958098171, ""y"": 22.48908142706278, ""type"": 5, ""original_type"": ""160000""}}, {""name"": ""湾奢里ONE·Z"", ""location"": {""x"": 113.90964957908537, ""y"": 22.487895511891388, ""type"": 7, ""original_type"": ""120300""}}, {""name"": ""海滨花园海晖阁"", ""location"": {""x"": 113.91113170420397, ""y"": 22.487477621512628, ""type"": 7, ""original_type"": ""120302""}}, {""name"": ""新景界"", ""location"": {""x"": 113.91158762339232, ""y"": 22.488905341543983, ""type"": 7, ""original_type"": ""120302""}}, {""name"": ""罗马花园"", ""location"": {""x"": 113.90907056889601, ""y"": 22.486987822229715, ""type"": 7, ""original_type"": ""120302""}}, {""name"": ""海滨花园"", ""location"": {""x"": 113.9126216576114, ""y"": 22.488100636234865, ""type"": 7, ""original_type"": ""120302""}}, {""name"": ""鼎域尚书房"", ""location"": {""x"": 113.91254759902574, ""y"": 22.489076696002716, ""type"": 7, ""original_type"": ""120300""}}]"
